BBP,Virtus LifeSci Biotech Products ETF,Biotechnology,$32.21,13.48%,1184,$60.38,2.08%, 
MJO,Indxx MicroSectors Cannabis 2X Leveraged ETN,Pharmaceutical,$25.05,58.23%,3167,$124.87,-1.37%, 
IEHS,iShares Evolved U.S. Healthcare Staples ETF,Broad Healthcare,$21.05,3.20%,6886,$38.60,0.39%, 
FTXH,First Trust Nasdaq Pharmaceuticals ETF,Pharmaceutical,$19.81,3.53%,9043,$26.68,0.45%,
CHIH,Global X MSCI China Health Care ETF,Pharmaceutical,$17.04,16.37%,11203,$31.03,1.31%, 
PILL,Direxion Daily Pharmaceutical & Medical Bull 3X Shares,Pharmaceutical,$16.54,11.29%,35037,$28.20,1.00%, 
CHNA,Loncar China BioPharma ETF,Pharmaceutical,$15.11,22.34%,4311,$39.83,0.58%, 
HELX,Franklin Genomic Advancements ETF,Broad Healthcare,$12.39,14.75%,5838,$50.82,1.36%, 
BIS,ProShares UltraShort Nasdaq Biotechnology,Biotechnology,$9.84,-20.83%,65078,$18.64,-3.27%, 
IBBJ,Defiance Nasdaq Junior Biotechnology ETF,Biotechnology,$9.52,14.40%,8513,$39.40,2.20%, 
KMED,KraneShares Emerging Market Healthcare Index ETF,Broad Healthcare,$7.51,5.75%,3867,$38.24,1.49%, 
BMED,BlackRock Future Health ETF,Broad Healthcare,$7.42,5.78%,2681,$31.81,1.69%, 
CHB,Global X China Biotech Innovation ETF,Pharmaceutical,$3.72,15.18%,5949,$18.84,1.24%, 
RXD,ProShares Ultra Short Health Care,Broad Healthcare,$1.45,-7.10%,2768,$8.86,-1.23%,
XLI,Industrial Select Sector SPDR Fund,Broad Industrials,"$15,980.10",0.50%,10956982,$88.99,0.59%, 
VIS,Vanguard Industrial ETF,Broad Industrials,"$4,125.83",2.44%,185538,$174.13,0.54%, 
JETS,U.S. Global Jets ETF,Airlines,"$2,948.23",2.99%,6189092,$23.05,0.70%, 
ITA,iShares U.S. Aerospace & Defense ETF,Aerospace & Defense,"$2,742.89",1.34%,330754,$95.99,-0.38%, 
IYT,iShares Transportation Average ETF,Transportation,"$1,619.76",2.18%,165976,$225.34,0.68%, 
PHO,Invesco Water Resources ETF,Water,"$1,385.19",4.87%,84586,$48.71,0.60%, 
IYJ,iShares U.S. Industrials ETF,Broad Industrials,"$1,305.11",1.56%,103359,$98.61,0.50%, 
XAR,SPDR S&P Aerospace & Defense ETF,Aerospace & Defense,"$1,298.07",6.29%,92116,$121.96,0.22%, 
FXR,First Trust Industrials/Producer Durables AlphaDEX Fund,Broad Industrials,"$1,222.34",4.54%,459694,$52.46,1.29%, 
FTXR,First Trust Nasdaq Transportation ETF,Transportation,$888.03,7.99%,213110,$30.30,1.13%, 
